config_id,model_family,graph_k,hidden_size,dropout,equal_fold_count_space_mae,primary_rounded_4dp,fold_mae_population_sd,fold_mae_min,fold_mae_max,fold_mae_range,rank
VGRU_H032_D00,genuine_vanilla_gru,,32,0.0,1.5384051585782383,1.5384,1.7878459550397976,0.4413636439022211,4.633398574480395,4.192034930578174,1
VGRU_H032_D10,genuine_vanilla_gru,,32,0.1,1.5385573550979426,1.5386,1.7877802875287079,0.4398075718388769,4.63339866565924,4.1935910938203635,2
VGRU_H064_D10,genuine_vanilla_gru,,64,0.1,1.5597724752473856,1.5598,1.7757288885848217,0.4792253555841723,4.633398903213059,4.154173547628886,3
VGRU_H064_D00,genuine_vanilla_gru,,64,0.0,1.5599127005425457,1.5599,1.7756435686123198,0.47975473890164716,4.633398893166507,4.1536441542648594,4
