city_id,lag,total_cells,observed_cells,observed_pct,positive_cells,positive_pct,zero_cells,zero_pct,unknown_cells,unknown_pct,share_denominator
129,1,420812,0,0.0,0,0.0,0,0.0,420812,100.0,all feature cells
129,2,420812,165011,39.21252245658394,70630,16.78421718011844,94381,22.4283052764655,255801,60.78747754341606,all feature cells
129,3,420812,223939,53.21592540136688,84973,20.19262758666578,138966,33.0232978147011,196873,46.78407459863312,all feature cells
129,4,420812,257351,61.15581304715645,90820,21.582084161098066,166531,39.57372888605838,163461,38.84418695284355,all feature cells
129,5,420812,280683,66.70033173958917,93967,22.329924051595487,186716,44.37040768799369,140129,33.299668260410826,all feature cells
129,6,420812,298250,70.87487999391652,96083,22.832761423153332,202167,48.04211857076319,122562,29.125120006083478,all feature cells
129,7,420812,311970,74.13524329154112,97612,23.19610657490756,214358,50.939136716633556,108842,25.864756708458884,all feature cells
129,8,420812,322964,76.74781137420035,98820,23.483170632016197,224144,53.264640742184156,97848,23.252188625799644,all feature cells
129,9,420812,331862,78.86229480147905,99839,23.725321521249395,232023,55.136973280229654,88950,21.137705198520955,all feature cells
129,10,420812,338990,80.5561628470671,100631,23.91352908187029,238359,56.64263376519681,81822,19.4438371529329,all feature cells
129,11,420812,344842,81.9468076005437,101260,24.063002005646226,243582,57.88380559489748,75970,18.05319239945629,all feature cells
129,12,420812,349682,83.09696491544918,101786,24.187998441109094,247896,58.90896647434008,71130,16.903035084550822,all feature cells
129,13,420812,353762,84.06651901561743,102251,24.29849909223121,251511,59.76801992338621,67050,15.933480984382575,all feature cells
129,14,420812,353676,84.04608233605505,102235,24.294696919289375,251441,59.75138541676568,67136,15.953917663944944,all feature cells
129,15,420812,353589,84.02540802068383,102220,24.291132382156402,251369,59.73427563852742,67223,15.974591979316179,all feature cells
129,16,420812,353497,84.00354552626827,102211,24.28899365987662,251286,59.714551866391645,67315,15.996454473731738,all feature cells
129,17,420812,353404,83.98144539604384,102198,24.285904394361378,251206,59.695541001682464,67408,16.01855460395616,all feature cells
129,18,420812,353310,83.95910763001055,102193,24.284716215317054,251117,59.674391414693496,67502,16.04089236998945,all feature cells
129,19,420812,353251,83.94508711728753,102189,24.283765672081593,251062,59.661321445205935,67561,16.054912882712472,all feature cells
129,20,420812,353190,83.93059133294678,102181,24.281864585610677,251009,59.648726747336106,67622,16.06940866705322,all feature cells
129,21,420812,353129,83.91609554860602,102170,24.279250591713165,250959,59.636844956892865,67683,16.083904451393973,all feature cells
129,22,420812,353066,83.90112449264755,102157,24.276161326197922,250909,59.624963166449625,67746,16.098875507352453,all feature cells
129,23,420812,353005,83.8866287083068,102138,24.27164624582949,250867,59.61498246247731,67807,16.113371291693202,all feature cells
129,24,420812,352943,83.87189528815718,102120,24.267368801269924,250823,59.60452648688726,67869,16.12810471184282,all feature cells
129,168,420812,343066,81.52476640399989,99475,23.638822086822618,243591,57.88594431717727,77746,18.475233596000113,all feature cells
194,1,260239,0,0.0,0,0.0,0,0.0,260239,100.0,all feature cells
194,2,260239,130357,50.09126226276615,68312,26.249716606657728,62045,23.841545656108423,129882,49.90873773723385,all feature cells
194,3,260239,169419,65.1013107182244,79152,30.415118410384302,90267,34.6861923078401,90820,34.898689281775596,all feature cells
194,4,260239,190062,73.03363446677862,83084,31.926037219632722,106978,41.10759724714589,70177,26.966365533221385,all feature cells
